John,John,M,341
Margaret,Margaret,F,271
James,James,M,256
Jenet,Isabel,F,200
Isabel,Janet,F,197
George,George,M,187
William,William,M,185
Thomas,Thomas,M,171
Robert,Robert,M,142
Agnes,Agnes,F,113
Alexander,Alexander,M,92
Jean,Jean,F,83
Elizabeth,Mary,F,78
Mary,Elizabeth,F,60
Andrew,Andrew,M,59
Helen,Helen,F,56
Betty,Janet,F,43
Marion,Betty,F,40
Alison,Marion,F,39
Barbara,Alison,F,27
Grizel,Barbara,F,27
Catherine,Grizel,F,26
Adam,Catherine,F,25
Ann,Adam,M,24
Bessie,Bessie,F,23
Nanse,David,M,22
David,Nanse,F,22
Christian,Elizabeth,F,21
Charles,Christian,F,19
Francis,Ann,F,17
Patrick,Charles,M,17
Henry,Francis,M,17
Rachel,Patrick,M,16
Walter,Henry,M,15
Euphan,Rachel,F,15
Hannah,Walter,M,14
Sarah,Hannah,F,10
Edward,Sarah,F,9
Nelly,Ann,F,7
Sophia,Edward,M,7
Mungo,Nelly,F,7
Archibald,Sophia,F,7
Joseph,Mungo,M,6
Richard,Archibald,M,5
Susan,Euphan,F,5
Mark,Joseph,M,5
Michael,surname,M,5
Philip,Richard,M,5
Martha,surname,M,4
Peter,Mark,M,4
Abigail,Michael,M,4
Eleonor,Philip,M,4
Lancelot,Susan,F,4
Ninian,Euphan,F,3
Violet,Martha,F,3
Anthony,Peter,M,3
Arthur,surname,M,3
Beatrix,Abigail,F,2
Dorothy,Euphan,F,2
Ebenezer,Isabel,F,2
Gavin,Lancelot,M,2
Grace,Ninian,M,2
Harry,Violet,F,2
Henrietta,Anthony,M,1
Hugh,Arthur,M,1
Isaac,Beatrix,F,1
Jeremy,surname,M,1
Julia,surname,F,1
Lilly,Dorothy,F,1
Magdalene,Ebenezer,M,1
Marjory,Eleonor,F,1
Millisint,Eleonor,F,1
Patricia,Gavin,M,1
Roberta,Grace,F,1
Robina,surname,F,1
Ruth,surname,F,1
Sissy,Henry,M,1
Zorobabel,Henrietta,F,1
,surname,F,1
,Hugh,M,1
,surname,F,1
,Isaac,M,1
,Jean,F,1
,Jeremy,M,1
,Jiminia,M,1
,Jean,F,1
,Julia,F,1
,Lilly,F,1
,Magdalene,F,1
,surname,F,1
,Marjory,F,1
,Millisint,F,1
,Nanse,F,1
,Patricia,F,1
,Roberta,F,1
,Robina,F,1
,Ruth,F,1
,Sissy,F,1
,surname,M,1
,Susan,F,1
,surname,M,1
,Zorobabel,M,1
