name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
An,5831,5435,2.01,61928.13,4.03,(S),91.92,(S),2.24,0.88
Bach,2897,11375,4.22,53486.25,87.16,0.28,7.92,0.4,1.21,3.03
 Banh ,13907,1991,0.74,71578.75,4.32,1.26,92.57,(S),0.9,(S)
 Bui ,1579,20852,7.73,46042.89,2.86,0.47,93.79,0.04,2.11,0.72
 Buu,100663,166,0.06,87334.16,3.61,(S),94.58,0,(S),0
 Cao ,2986,11106,4.12,53857.16,1.85,(S),93.73,(S),1.75,2.32
Chu,1328,24381,9.04,43945.28,2.47,(S),93.37,(S),2.76,1.22
Chung,870,36422,13.5,38928.13,2.34,1.93,91.02,0.04,3.62,1.05
 Dam ,11287,2570,0.95,69384.51,25.45,0.82,69.92,0.35,1.87,1.6
 Dang ,1490,21953,8.14,45335.32,2.52,0.41,94.11,0.03,2.25,0.68
 Dao ,3994,8163,3.03,57391.59,2.56,0.66,93.16,0.12,2.41,1.08
 Diep ,6489,4827,1.79,63177.99,1.57,(S),95.65,(S),1.91,0.75
 Dinh ,2792,11836,4.39,53035.66,2.1,(S),95.54,(S),1.7,0.47
 Do ,1551,21230,7.87,45824.45,1.97,0.39,94.86,0.04,2.1,0.64
 Doan ,2094,15902,5.89,49493.95,37.94,0.64,58.62,0.27,1.79,0.74
 Duong ,1790,18404,6.82,47570.27,1.33,0.19,95.98,0.08,1.76,0.66
 Giang ,12458,2285,0.85,70434.76,1.18,0.26,96.11,0.22,1.84,0.39
 Hoa,76208,235,0.09,85550.79,2.98,(S),87.23,(S),3.83,5.53
 Hoang,1546,21269,7.88,45785.05,1.39,0.17,95.79,0.07,1.98,0.61
 Huynh ,790,40011,14.83,37802.75,1.02,0.11,96.17,0.03,2.04,0.63
Kieu,28856,776,0.29,78332.35,1.16,0,96.78,0,1.16,0.9
 La ,6408,4892,1.81,63033.94,5.42,0.9,90.78,0.12,1.61,1.17
 Le,368,77453,28.71,29252.48,1.83,0.29,95.15,0.03,2.13,0.56
 Luc,13082,2145,0.8,70948.01,17.62,14.03,63.17,(S),2.84,(S)
 Luong ,2951,11214,4.16,53716.58,1.45,(S),96.05,(S),1.85,0.44
 Luu,2768,11965,4.44,52929.71,1.49,0.23,95.77,0.06,1.78,0.67
Lieu,10114,2933,1.09,68192.05,2.22,0.61,94.68,0,1.94,0.55
 Ly,1421,22990,8.52,44769,1.24,0.8,94.52,0.03,2.71,0.69
 Mai ,2752,12027,4.46,52863.02,14.5,0.38,81.94,0.12,2.12,0.93
Ma,1726,19030,7.05,47126.89,2.42,0.44,94,0.05,1.76,1.33
Mach,6552,4770,1.77,63291.82,67.65,4.07,25.35,0.52,1.28,1.13
 Nghiem,24471,958,0.36,76933.33,(S),(S),96.66,0,2.4,0.63
 Ngo,1355,23980,8.89,44187.17,1.14,(S),95.84,(S),2.13,0.61
 Nguyen ,57,310125,114.96,13251.76,1.26,0.18,95.93,0.04,2.01,0.58
Phi,50468,389,0.14,82681,5.4,1.54,86.63,0,4.11,2.31
 Pham ,498,59949,22.22,32548.37,1.31,0.18,95.86,0.06,1.98,0.63
 Phan ,1193,26903,9.97,42664.74,1.82,(S),94.79,(S),2.46,0.65
 Phu,15187,1781,0.66,72473.76,2.19,(S),95.79,(S),1.29,0.39
 Phung ,5882,5387,2,62036.46,0.98,(S),96.36,(S),1.82,0.67
 Quach ,4305,7624,2.83,58302.27,0.96,0.16,96.52,0.09,1.59,0.68
 Quang ,27821,813,0.3,78029.27,2.21,(S),94.96,(S),2.09,0.62
To,4649,6979,2.59,59233.26,2.13,(S),94.47,(S),2.01,0.95
 Ta,5487,5829,2.16,61215.33,1.9,(S),95.47,(S),1.56,0.53
 Thach ,6688,4657,1.73,63532.93,8.95,0.37,83.68,0.13,5.99,0.88
Sai,51233,382,0.14,82792.41,20.68,9.42,62.57,0,5.24,2.09
 Thai ,3864,8440,3.13,56991.41,2.23,0.14,94.67,0.06,2.46,0.44
 Thanh ,73412,246,0.09,85312.71,2.03,(S),95.12,0,2.03,(S)
 Thi ,28298,795,0.29,78173.46,3.14,1.13,90.57,0,3.77,1.38
 Tieu ,15146,1786,0.66,72448.63,0.45,(S),96.64,(S),1.74,1.01
Tong,3074,10809,4.01,54218.76,13.66,1.38,79.46,0.1,3.27,2.14
 Ton ,8246,3696,1.37,65918.39,11.12,1.03,83.98,0.97,1.79,1.11
 Tran,188,136095,50.45,22454.47,1.56,0.16,95.61,0.07,1.98,0.62
 Trang ,14432,1898,0.7,71960.98,2.95,0,94.99,0,1.58,0.47
 Trieu ,11138,2613,0.97,69242.31,4.09,0.23,93.57,0,1.76,0.34
 Trinh ,2868,11507,4.27,53363.38,1.49,(S),95.63,(S),1.91,0.81
 Truong ,1157,27808,10.31,42299.91,1.21,0.17,96.48,0.04,1.67,0.44
 Van ,2653,12531,4.65,52408.66,51.6,5.14,39.45,0.36,2.07,1.38
 Vinh ,36956,569,0.21,80327.4,2.81,0,94.73,0,1.58,0.88
 Vo,1296,24956,9.25,43653.03,1.84,0.28,95.16,0.05,2.02,0.65
 Vong ,9625,3100,1.15,67644.95,5.06,(S),89.48,(S),3.52,1.16
 Vu,1247,25828,9.57,43191.79,1.47,0.12,96.23,0.05,1.67,0.46
 Vuong ,4556,7148,2.65,58990.02,1.22,(S),96.29,(S),1.73,0.59
