X1,name,school,year,first,last,country,n,temp,first.first,first.middle,patronym,middle
560,Xinfang Fang,NA,NA,Xinfang,Fang,china,NA,Fang,NA,NA,NA,NA
320,Xu Wang,NA,NA,Xu,Wang,china,NA,Wang,NA,NA,NA,NA
1176,Zhaoying Meng,NA,NA,Zhaoying,Meng,china,NA,Meng,NA,NA,NA,NA
1097,Xingdan Chen,NA,NA,Xingdan,Chen,china,NA,Chen,NA,NA,NA,NA
1251,Chunan Cao,NA,NA,Chunan,Cao,china,NA,Cao,NA,NA,NA,NA
1169,Qiang Li,NA,NA,Qiang,Li,china,NA,Li,NA,NA,NA,NA
633,Hongyuan Yang,NA,NA,Hongyuan,Yang,china,NA,Yang,NA,NA,NA,NA
48,Zhaozhi Guan,NA,NA,Zhaozhi,Guan,china,NA,Guan,NA,NA,NA,NA
1151,Deren Yang,NA,NA,Deren,Yang,china,NA,Yang,NA,NA,NA,NA
1326,Xiyuan Zhou,NA,NA,Xiyuan,Zhou,china,NA,Zhou,NA,NA,NA,NA
23,Jici Yan,NA,NA,Jici,Yan,china,NA,Yan,NA,NA,NA,NA
355,Xi Xu,NA,NA,Xi,Xu,china,NA,Xu,NA,NA,NA,NA
164,Shigang Chen,NA,NA,Shigang,Chen,china,NA,Chen,NA,NA,NA,NA
621,Yuanchun Shi,NA,NA,Yuanchun,Shi,china,NA,Shi,NA,NA,NA,NA
409,Guoqiang Lin,NA,NA,Guoqiang,Lin,china,NA,Lin,NA,NA,NA,NA
898,Dazhong Sun,NA,NA,Dazhong,Sun,china,NA,Sun,NA,NA,NA,NA
1320,Zengyuan Guo,NA,NA,Zengyuan,Guo,china,NA,Guo,NA,NA,NA,NA
600,Zuoxin Zheng,NA,NA,Zuoxin,Zheng,china,NA,Zheng,NA,NA,NA,NA
1306,Xiaoxin Zhou,NA,NA,Xiaoxin,Zhou,china,NA,Zhou,NA,NA,NA,NA
931,Zhiqin Xu,NA,NA,Zhiqin,Xu,china,NA,Xu,NA,NA,NA,NA
996,Degan Shu,NA,NA,Degan,Shu,china,NA,Shu,NA,NA,NA,NA
620,Liming Shi,NA,NA,Liming,Shi,china,NA,Shi,NA,NA,NA,NA
1235,Ziliang Wu,NA,NA,Ziliang,Wu,china,NA,Wu,NA,NA,NA,NA
859,Xuejin Xie,NA,NA,Xuejin,Xie,china,NA,Xie,NA,NA,NA,NA
258,Minlon Huang,NA,NA,Minlon,Huang,china,NA,Huang,NA,NA,NA,NA
1337,Changchun Ge,NA,NA,Changchun,Ge,china,NA,Ge,NA,NA,NA,NA
480,Xuesi Chen,NA,NA,Xuesi,Chen,china,NA,Chen,NA,NA,NA,NA
1321,Jisheng Li,NA,NA,Jisheng,Li,china,NA,Li,NA,NA,NA,NA
1422,Daqiao Meng,NA,NA,Daqiao,Meng,china,NA,Meng,NA,NA,NA,NA
1181,Hengxian Tao,NA,NA,Hengxian,Tao,china,NA,Tao,NA,NA,NA,NA
298,Weiyuan Huang,NA,NA,Weiyuan,Huang,china,NA,Huang,NA,NA,NA,NA
405,Hongyuan Chen,NA,NA,Hongyuan,Chen,china,NA,Chen,NA,NA,NA,NA
313,Jun Shi,NA,NA,Jun,Shi,china,NA,Shi,NA,NA,NA,NA
1315,Guozhi Zhou,NA,NA,Guozhi,Zhou,china,NA,Zhou,NA,NA,NA,NA
