Names from Northumberland and Durham, 1530-1830.
Created by Douglas Galbi
For source and data description, see
http://www.galbithink.org/names/engb1800.htm

"rn","placeid","year","gname-r","gname","sex"
1,"WLW",1558,"Richard","Richard",2
1,"WLW",1558,"Janett","Jane",1
2,"WLW",1558,"Thomas","Thomas",2
2,"WLW",1558,"Joanna","Joan",1
3,"WLW",1558,"Xpofer","Christop",2
3,"WLW",1558,"Elizabeth","Elizabet",1
4,"WLW",1558,"Edward","Edward",2
4,"WLW",1558,"Agnes","Agnes",1
5,"WLW",1559,"Lancelot","Lancelot",2
5,"WLW",1559,"Elizabeth","Elizabet",1
6,"WLW",1559,"John","John",2
6,"WLW",1559,"Jenett","Jane",1
7,"WLW",1559,"John","John",2
7,"WLW",1559,"Janett","Jane",1
8,"WLW",1560,"Thomas","Thomas",2
8,"WLW",1560,"Jenett","Jane",1
9,"WLW",1560,"Anthony","Anthony",2
9,"WLW",1560,"Agnes","Agnes",1
10,"WLW",1560,"Thomas","Thomas",2
10,"WLW",1560,"Margaret","Margaret",1
11,"WLW",1562,"Thomas","Thomas",2
11,"WLW",1562,"Margaret","Margaret",1
12,"WLW",1563,"William","William",2
12,"WLW",1563,"Margaret","Margaret",1
13,"WLW",1563,"John","John",2
13,"WLW",1563,"Janett","Jane",1
14,"WLW",1567,"John","John",2
14,"WLW",1567,"Elizabeth","Elizabet",1
15,"WLW",1567,"Nicholas","Nicholas",2
15,"WLW",1567,"Elizabeth","Elizabet",1
16,"WLW",1567,"Richard","Richard",2
16,"WLW",1567,"Isabell","Isabella",1
17,"WLW",1568,"William","William",2
17,"WLW",1568,"Margaret","Margaret",1
18,"WLW",1568,"Anthony","Anthony",2
18,"WLW",1568,"Margaret","Margaret",1
19,"WLW",1575,"John","John",2
19,"WLW",1575,"Janett","Jane",1
20,"WLW",1576,"Gilbert","Gilbert",2
20,"WLW",1576,"Janett","Jane",1
21,"WLW",1576,"John","John",2
21,"WLW",1576,"Susanna","Susan",1
22,"WLW",1577,"John","John",2
22,"WLW",1577,"Janett","Jane",1
23,"WLW",1577,"Robert","Robert",2
23,"WLW",1577,"Margaret","Margaret",1
24,"WLW",1577,"Thomas","Thomas",2
24,"WLW",1577,"Jane","Jane",1
25,"WLW",1577,"Robert","Robert",2
25,"WLW",1577,"Margaret","Margaret",1
26,"WLW",1577,"Rolande","Rolande",2
26,"WLW",1577,"Katherine","Catherin",1
27,"WLW",1578,"John","John",2
27,"WLW",1578,"Isabell","Isabella",1
28,"WLW",1578,"John","John",2
28,"WLW",1578,"Eliner","Ellen",1
29,"WLW",1578,"Richard","Richard",2
29,"WLW",1578,"Isabell","Isabella",1
30,"WLW",1579,"Robert","Robert",2
30,"WLW",1579,"Elizabeth","Elizabet",1
31,"WLW",1579,"Xpofer","Christop",2
31,"WLW",1579,"Margaret","Margaret",1
32,"WLW",1580,"Roger","Roger",2
32,"WLW",1580,"Janett","Jane",1
33,"WLW",1580,"Bryan","Brian",2
33,"WLW",1580,"Janett","Jane",1
34,"WLW",1580,"John","John",2
34,"WLW",1580,"Margery","Margaret",1
35,"WLW",1580,"Bryan","Brian",2
35,"WLW",1580,"Marye","Mary",1
36,"WLW",1581,"Myles","Miles",2
36,"WLW",1581,"Janet","Jane",1
37,"WLW",1581,"John","John",2
37,"WLW",1581,"Margery","Margaret",1
38,"WLW",1581,"George","George",2
38,"WLW",1581,"Margaret","Margaret",1
39,"WLW",1582,"Anthony","Anthony",2
39,"WLW",1582,"Agnes","Agnes",1
40,"WLW",1582,"William","William",2
40,"WLW",1582,"Agnes","Agnes",1
41,"WLW",1583,"John","John",2
41,"WLW",1583,"Margaret","Margaret",1
42,"WLW",1583,"Henry","Henry",2
42,"WLW",1583,"Elizabeth","Elizabet",1
43,"WLW",1583,"John","John",2
43,"WLW",1583,"Margaret","Margaret",1
44,"WLW",1584,"William","William",2
44,"WLW",1584,"Agnes","Agnes",1
45,"WLW",1584,"William","William",2
45,"WLW",1584,"Margaret","Margaret",1
46,"WLW",1584,"Richard","Richard",2
46,"WLW",1584,"Alice","Alice",1
47,"WLW",1584,"Mychaell","Michael",2
47,"WLW",1584,"Elizabeth","Elizabet",1
48,"WLW",1585,"Bryan","Brian",2
48,"WLW",1585,"Agnes","Agnes",1
49,"WLW",1585,"John","John",2
49,"WLW",1585,"Margaret","Margaret",1
