김,金,Gim,Kim,"Kim, Kym, Geem, Keem","8,925,949"
Ri (N) 5,"Lee, Yi, Rhee, Ree, Rey, Rhie",,,,"6,796,227"
박,朴,Bak,Pak,"Park, Pak, Bark, Pack, Back, Bhak","3,895,121"
정,"丁 , 程 , 鄭",Jeong,Chŏng,"Chung, Jung, Joung, Chong, Cheong, Choung","2,230,611"
최,崔,Choe,Ch'oe,"Choi, Che, Choy, Chey","2,169,704"
조,"趙 , 曺",Jo,Cho,"Cho, Cao, Joe, Joh, Jou","1,347,730"
강,"姜 , 剛 , 康 , 強 , 彊",Gang,Kang,"Kang, Kahng, Kwang, Khang","1,169,805"
윤,尹,Yun,Yun,"Yoon, Youn, Yune, Yeun","948,600"
장,"莊 , 章 , 張 , 蔣",Jang,Chang,"Chang, Jahng, Jhang, Gang, Zhang","943,257"
신,"申 , 辛 , 愼",Sin,Sin,"Shin, Shinn, Sheen, Chin, Seen, Sinn, Cynn","911,556"
한,"韓 , 漢",Han,Han,"Hahn, Hann","715,556"
오,"伍 , 吳 , 呉",O,O,"Oh, Oe, Au, Ou","706,908"
서,"西 , 徐",Seo,Sŏ,"Suh, Su, Sur, So, Seu, Seoh","695,249"
전,"全 , 田 , 錢",Jeon,Chŏn,"Jun, Chun, Chon, Jeun, Cheon","687,867"
권,權,Gwon,Kwŏn,"Kwon, Kweon, Kwun, Kwan","652,495"
황,黃,Hwang,Hwang,"Whang, Hoang, Huang, Whong, Wong","644,294"
송,"宋 , 松",Song,Song,"Soung, Shong, Sung","639,082"
안,安,An,An,"Ahn, Ahne, Ann, Aan","637,786"
Rim (N) 6,"Lim, Yim, Rim, Leem, Rhim",,,,"635,507"
류,柳,Ryu,Ryu,"Ryu, Ryou, Ryoo","603,084"
홍,洪,Hong,Hong,"Houng, Hyong","518,635"
Ryang (N) 1,"Ryang, Yaung, Lyang",,,,"486,645"
Ryu (N) 4,"Yoo, You",,,,"437,900"
고,高,Go,Ko,"Ko, Koh, Goh, Kho, Gho, Kor","435,839"
문,"門 , 文",Mun,Mun,"Moon, Muhn, Mhun","426,927"
손,孫,Son,Son,"Sohn, Shon, Soon, Soun, Sun","415,182"
배,裵,Bae,Pae,"Bai, Bea, Pae, Pai, Bay, Pay, Pea","372,064"
백,白,Baek,Paek,"Baik, Back, Paik, Paek, Beak","351,275"
허,許,Heo,Hŏ,"Hur, Huh, Her, Hu, Ho, Hoh, Heoh","300,448"
Ro (N),"Noh, Roh, Ro, Rho, Nho",,,,"290,434"
남,南,Nam,Nam,"Nahm, Nham, Narm","257,178"
심,沈,Sim,Sim,"Shim, Seem, Sheem, Shimn, Sihm","252,255"
주,"周 , 朱",Ju,Chu,"Joo, Chu, Choo, Jou, Zoo, Jew","215,010"
하,"河 , 夏",Ha,Ha,"Hah, Har","213,758"
곽,郭,Gwak,Kwak,"Kwak, Kwag, Kwack, Gwag, Koak, Kuark","187,322"
성,"成 , 星",Seong,Sŏng,"Sung, Soung, Seung, Song","185,363"
차,車,Cha,Ch'a,"Char, Chah, Tchah, Tcha","180,589"
우,"於 , 禹",U,U,"Woo, Wu, Ou, Wo, Uh","180,141"
Ra (N),"Ra, Nah, La, Rha, Rah",,,,"172,022"
진,"晉 , 眞 , 陳 , 秦",Jin,Chin,"Chin, Jean, Gin, Zhin, Chen","170,980"
민,閔,Min,Min,"Minn, Mihn, Mhin","159,054"
지,"智 , 池",Ji,Chi,"Jee, Ch, Gi, Chee, Gee, Jhi","147,572"
엄,嚴,Eom,Ŏm,"Um, Eum, Uhm, Aum, Oum, Ohm, Uam","132,990"
변,"卞 , 邊",Byeon,Pyŏn,"Byun, Byon, Pyun, Byoun, Pyon, Pyoun, Pyeon","131,554"
원,"元 , 袁 , 苑",Won,Wŏn,"Weon, Woon, Wone, Wun, One","120,465"
방,"方 , 房 , 邦 , 龐",Bang,Pang,"Pang, Bhang, Bahng, Pahng, Phang","119,703"
채,"采 , 菜 , 蔡",Chae,Ch'ae,"Chai, Che, Chea","119,251"
천,"天 , 千",Cheon,Ch'ŏn,"Chun, Chon, Chen, Choun","112,227"
임,任,Im,Im,"Im, Yim","99,986"
공,"孔 , 公",Gong,Kong,"Kong, Kohng, Koung, Goung, Khong","85,606"
현,玄,Hyeon,Hyŏn,"Hyun, Hyon, Hyoun, Hyen","81,807"
함,咸,Ham,Ham,"Hahm, Harm, Hamm, Haam","75,955"
Ryŏ (N) 2,"Yu, Yo, Yeu, Yuh, Yea",,,,"75,196"
Ryŏm (N),"Yum, Youm, Yeum, Yom, Yeoum",,,,"63,951"
추,"秋 , 鄒",Chu,Ch'u,"Choo, Chou, Chyu","55,309"
도,"道 , 都, 陶",Do,To,"Doh, Dho, To, Doe, Tho, Toh","54,779"
석,"昔, 石",Seok,Sŏk,"Suk, Sok, Suck, Seuk, Seak","54,610"
소,"蘇 , 邵",So,So,"Soh, Sho, Soo","49,456"
설,"薛 , 偰",Seol,Sŏl,"Sul, Seul, Sol, Sull","42,064"
선,宣,Seon,Sŏn,"Sun, Son, Suhn, Sen","38,849"
마,"馬 , 麻",Ma,Ma,"Mah, Mar, Mha","36,094"
Ryŏn (N) 3,"Youn, Yun, Yon, Yeun, Yeoun",,,,"32,528"
길,吉,Gil,Kil,"Kil, Gill, Khil, Kill, Keel, Kihl","32,418"
위,"韋 , 魏",Wi,Wi,"Wee, We, Wie, Wei","30,496"
제,諸,Je,Che,"Jae, Jea, Che, Jei, Jhe","29,968"
표,表,Pyo,P'yo,"Phyo, Pio, Puo, Peo, Pyho","28,398"
명,明,Myeong,Myŏng,"Myung, Myoung, Myong","26,746"
