John,John,M,872
Margaret,Margaret,F,659
William,William,M,635
Robert,Robert,M,606
Jean,Jean,F,576
Janet,Janet,F,488
James,James,M,463
Mary,Mary,F,395
Elizabeth,Elizabeth,F,292
Agnes,Agnes,F,249
Hugh,Hugh,M,182
Thomas,Thomas,M,161
Ann,Ann,F,154
Marion,Marion,F,136
Andrew,Andrew,M,133
David,David,M,123
Martha,Martha,F,98
Isabel,Isabel,F,91
Alexander,Alexander,M,81
Barbara,Barbara,F,65
Matthew,Matthew,M,36
George,George,M,31
Helen,Helen,F,31
Patrick,Patrick,M,29
Gavin,Gavin,M,25
Daniel,Daniel,M,25
Katherine,Katherine,F,22
Susanna,Susan,F,20
Annabel,Annabel,F,19
Francis,Francis,M,18
Samuel,Samuel,M,16
Allan,Allan,M,14
Sarah,Sarah,F,12
Christian,Christian,F,12
Rebecca,Rebecca,F,10
Henry,Henry,M,10
Archibald,Archibald,M,9
Ursula,Ursula,F,8
Grizell,Grizell,F,7
Joseph,Joseph,M,6
Prudence,Prudence,F,5
Peter,Peter,M,5
Neil,Neil,M,5
Rose,Rose,F,4
Humphrey,Humphrey,M,4
Adam,Adam,M,4
Walter,Walter,M,3
Montgomery,Montgomery,M,3
Magdalene,Magdalene,F,3
Euphan,Euphan,F,3
Charles,Charles,M,3
Rachel,Rachel,F,2
Philip,Philip,M,2
Marjory,Marjory,F,2
Lillias,Lily,F,2
Jackie,Jackie,F,2
Francis,Francis,F,2
Duncan,Duncan,M,2
Douglas,Douglas,M,2
Agatha,Agatha,F,2
Sibby,Sibby,F,1
Robina,Robina,F,1
Penelope,Penelope,F,1
Ninian,Ninian,M,1
Nathaniel,Nathaniel,M,1
May,May,F,1
Malcolm,Malcolm,M,1
Lydia,Lydia,F,1
Keith,Keith,M,1
Julia,Julia,F,1
Joanna,Joanna,F,1
Jemima,Jemima,F,1
Grace,Grace,F,1
Florence,Florence,F,1
Edward,Edward,M,1
Dorothy,Dorothy,F,1
Dina,Dina,F,1
Clementina,Clementina,F,1
Bridget,Bridget,F,1
Arthur,Arthur,M,1
Alice,Alice,F,1
