John,John,M,169
Alexander,Alexander,M,135
Donald,Donald,M,127
Anne,Anne,F,122
Margaret,Margaret,F,118
Isabel,Isabel,F,92
Janet,Janet,F,90
Mary,Mary,F,79
William,William,M,78
Katherine,Katherine,F,67
Christian,Christian,F,58
Elisabeth,Elisabeth,F,54
Kenneth,Kenneth,M,47
George,George,M,41
Roderick,Roderick,M,29
James,James,M,28
Duncan,Duncan,M,25
Jean,Jean,F,24
Helen,Helen,F,23
Colin,Colin,M,23
Rory,Rory,M,19
Murdoch,Murdoch,M,18
Ranald,Ranald,M,16
Murdo,Murdoch,M,15
Hugh,Hugh,M,14
Barbara,Barbara,F,13
Hector,Hector,M,12
Thomas,Thomas,M,10
Francis,Francis,M,7
Neil,Neil,M,6
David,David,M,6
Peter,Peter,M,5
Patrick,Patrick,M,5
Henry,Henry,M,5
Grizzel,Grizzel,F,5
Andrew,Andrew,M,5
Malcolm,Malcolm,M,4
Lilias,Lillie,F,4
Giles,Giles,M,4
Daniel,Daniel,M,4
Annabel,Annabel,F,4
Alexandrina,Alexandrina,F,4
Agnes,Agnes,F,4
Robert,Robert,M,3
May,May,F,3
Jacobina,Jacobina,F,3
Finlay,Finlay,M,3
Betty,Beatrix,F,3
Angus,Angus,M,3
Wilhelmina,Wilhelmina,F,2
Walter,Walter,M,2
Simon,Simon,M,2
Sarah,Sarah,F,2
Samuel,Samuel,M,2
Rachel,Rachel,F,2
Martha,Martha,F,2
Marrion,Marrion,F,2
Justina,Justina,F,2
Joseph,Joseph,M,2
Henrietta,Henrietta,F,2
Flory,Flory,F,2
Euphia,Euphie,F,2
Curstie,Curstie,F,2
Charles,Charles,M,2
Barny,Bernard,M,2
Adam,Adam,M,2
Susanna,Susanna,F,1
Rose,Rose,F,1
Rebecca,Rebecca,F,1
Paull,Paull,M,1
Michael,Michael,M,1
Magdalene,Magdalene,F,1
Nelly,Nelly,F,1
Fanny,Fanny,F,1
Emilius,Emilius,M,1
Bernarda,Bernarda,F,1
Benjamine,Benjamine,M,1
Augusta,Augusta,F,1
Arthur,Arthur,M,1
Archibald,Archibald,M,1
Allan,Allan,M,1
